mysql> select i.f,i.c,e.f,e.c from incomefamily i,expensefamily e where i.f=e.f;
+------+------+------+------+
| f    | c    | f    | c    |
+------+------+------+------+
|    1 |   15 | 1    |  665 |
|   10 |   12 | 10   |  523 |
|  100 |    3 | 100  |  512 |
| 1000 |    6 | 1000 |  188 |
| 1001 |   12 | 1001 |  178 |
| 1002 |    3 | 1002 |  188 |
| 1003 |    6 | 1003 |  174 |
| 1004 |    9 | 1004 |  308 |
| 1008 |   18 | 1008 |  195 |
| 1009 |    3 | 1009 |  191 |
| 1010 |    3 | 1010 |  216 |
| 1011 |    3 | 1011 |  216 |
| 1012 |    3 | 1012 |  240 |
| 1014 |    3 | 1014 |  374 |
| 1015 |    9 | 1015 |  315 |
| 1018 |    9 | 1018 |  366 |
| 1019 |    6 | 1019 |  400 |
|  102 |    3 | 102  |  550 |
| 1020 |    3 | 1020 |  367 |
| 1021 |    9 | 1021 |  334 |
| 1022 |    3 | 1022 |  321 |
| 1023 |    3 | 1023 |  411 |
| 1024 |    6 | 1024 |  304 |
| 1025 |    3 | 1025 |  344 |
| 1026 |    6 | 1026 |  300 |
| 1027 |    3 | 1027 |  388 |
| 1028 |    3 | 1028 |  390 |
|  103 |    6 | 103  |  504 |
| 1030 |   15 | 1030 |  451 |
| 1031 |    3 | 1031 |  381 |
| 1032 |    6 | 1032 |  379 |
| 1033 |    3 | 1033 |  329 |
| 1034 |    3 | 1034 |  441 |
| 1037 |    6 | 1037 |  228 |
| 1038 |    3 | 1038 |  370 |
|  104 |    6 | 104  |  619 |
| 1040 |    3 | 1040 |  259 |
| 1041 |    3 | 1041 |  252 |
| 1042 |    3 | 1042 |  260 |
| 1043 |    3 | 1043 |  168 |
| 1044 |    3 | 1044 |  216 |
| 1045 |    3 | 1045 |  237 |
| 1046 |    6 | 1046 |  222 |
| 1048 |    6 | 1048 |  174 |
| 1049 |    3 | 1049 |  262 |
| 1050 |    3 | 1050 |  282 |
| 1051 |    6 | 1051 |  370 |
| 1052 |    9 | 1052 |  300 |
| 1054 |    3 | 1054 |  260 |
| 1055 |    9 | 1055 |  251 |
| 1059 |    3 | 1059 |  393 |
|  106 |    3 | 106  |  516 |
| 1060 |    3 | 1060 |  320 |
| 1061 |    3 | 1061 |  362 |
| 1062 |    3 | 1062 |  338 |
| 1064 |    3 | 1064 |  316 |
| 1066 |    3 | 1066 |  233 |
| 1067 |    3 | 1067 |  234 |
| 1068 |    6 | 1068 |  308 |
| 1069 |    6 | 1069 |  253 |
|  107 |    3 | 107  |  375 |
| 1070 |    3 | 1070 |  300 |
| 1071 |    6 | 1071 |  170 |
| 1072 |    3 | 1072 |  169 |
| 1073 |    9 | 1073 |  159 |
| 1074 |    9 | 1074 |  190 |
| 1075 |    6 | 1075 |  240 |
| 1077 |    6 | 1077 |  304 |
| 1078 |    6 | 1078 |  306 |
| 1079 |    3 | 1079 |  250 |
|  108 |    6 | 108  |  337 |
| 1080 |    3 | 1080 |  280 |
| 1081 |    9 | 1081 |  312 |
| 1082 |    6 | 1082 |  233 |
| 1088 |    3 | 1088 |  243 |
| 1089 |    3 | 1089 |  227 |
|  109 |    6 | 109  |  574 |
| 1090 |    3 | 1090 |  347 |
| 1092 |    3 | 1092 |  371 |
| 1094 |    3 | 1094 |  371 |
| 1095 |    3 | 1095 |  383 |
| 1096 |    9 | 1096 |  385 |
| 1097 |    3 | 1097 |  381 |
| 1099 |    9 | 1099 |  342 |
|   11 |   12 | 11   |  508 |
|  110 |    9 | 110  |  468 |
| 1100 |   15 | 1100 |  439 |
| 1101 |    9 | 1101 |  385 |
| 1102 |   12 | 1102 |  384 |
| 1103 |    3 | 1103 |  327 |
| 1104 |   15 | 1104 |  334 |
| 1105 |    9 | 1105 |  320 |
| 1106 |   12 | 1106 |  388 |
| 1107 |    3 | 1107 |  385 |
| 1108 |    9 | 1108 |  307 |
| 1109 |    3 | 1109 |  454 |
|  111 |    6 | 111  |  343 |
| 1110 |    6 | 1110 |  435 |
| 1111 |    6 | 1111 |  428 |
| 1116 |    3 | 1116 |  402 |
| 1117 |    6 | 1117 |  387 |
| 1118 |    9 | 1118 |  276 |
|  112 |    6 | 112  |  349 |
| 1120 |    6 | 1120 |  265 |
| 1121 |   18 | 1121 |  252 |
| 1124 |   24 | 1124 |  325 |
| 1125 |    9 | 1125 |  236 |
| 1126 |    9 | 1126 |  317 |
| 1127 |    6 | 1127 |  352 |
| 1128 |    9 | 1128 |  474 |
|  113 |    6 | 113  |  344 |
| 1130 |   12 | 1130 |  468 |
| 1131 |   15 | 1131 |  442 |
| 1132 |    6 | 1132 |  437 |
| 1133 |    6 | 1133 |  351 |
| 1134 |    6 | 1134 |  426 |
| 1135 |    6 | 1135 |  344 |
| 1136 |    6 | 1136 |  361 |
| 1137 |    3 | 1137 |  300 |
| 1138 |    6 | 1138 |  369 |
| 1139 |    6 | 1139 |  397 |
|  114 |    3 | 114  |  372 |
| 1142 |    3 | 1142 |  427 |
| 1143 |    6 | 1143 |  492 |
| 1144 |    6 | 1144 |  536 |
| 1145 |    9 | 1145 |  318 |
| 1146 |   12 | 1146 |  431 |
| 1149 |   12 | 1149 |  480 |
| 1150 |   12 | 1150 |  401 |
| 1151 |    9 | 1151 |  336 |
| 1152 |    3 | 1152 |  498 |
| 1153 |   21 | 1153 |  593 |
| 1154 |    9 | 1154 |  523 |
| 1155 |   12 | 1155 |  341 |
| 1158 |   24 | 1158 |  360 |
| 1159 |    3 | 1159 |  342 |
| 1161 |    6 | 1161 |  380 |
| 1162 |    3 | 1162 |  344 |
| 1163 |    6 | 1163 |  398 |
| 1165 |   15 | 1165 |  402 |
| 1166 |    6 | 1166 |  415 |
| 1167 |    6 | 1167 |  486 |
| 1168 |    6 | 1168 |  437 |
| 1169 |    6 | 1169 |  427 |
|  117 |    3 | 117  |  356 |
| 1170 |    9 | 1170 |  503 |
| 1171 |    3 | 1171 |  444 |
| 1173 |    6 | 1173 |  342 |
| 1174 |    6 | 1174 |  370 |
| 1175 |    6 | 1175 |  409 |
| 1176 |    6 | 1176 |  426 |
| 1177 |   12 | 1177 |  352 |
| 1178 |    9 | 1178 |  408 |
| 1179 |    6 | 1179 |  345 |
|  118 |    6 | 118  |  473 |
| 1180 |    9 | 1180 |  424 |
| 1181 |    6 | 1181 |  252 |
| 1183 |    6 | 1183 |  299 |
| 1184 |    6 | 1184 |  316 |
| 1185 |   12 | 1185 |  329 |
| 1186 |    3 | 1186 |  273 |
| 1188 |    3 | 1188 |  407 |
| 1190 |    3 | 1190 |  298 |
| 1191 |    3 | 1191 |  349 |
| 1192 |   18 | 1192 |  472 |
| 1193 |    6 | 1193 |  398 |
| 1194 |    9 | 1194 |  333 |
| 1195 |    6 | 1195 |  331 |
| 1196 |    6 | 1196 |  322 |
| 1197 |   12 | 1197 |  301 |
| 1198 |   15 | 1198 |  344 |
|   12 |    6 | 12   |  280 |
|  120 |    3 | 120  |  370 |
| 1201 |    3 | 1201 |  378 |
| 1202 |   18 | 1202 |  403 |
| 1203 |    6 | 1203 |  402 |
| 1204 |    6 | 1204 |  383 |
| 1205 |    6 | 1205 |  398 |
| 1206 |    3 | 1206 |  421 |
| 1208 |    3 | 1208 |  393 |
| 1209 |   36 | 1209 |  417 |
| 1211 |    6 | 1211 |  373 |
| 1212 |    6 | 1212 |  421 |
| 1214 |    9 | 1214 |  248 |
