 f    	 m    	new-m	diff
			
1	1	1	
1	2	2	
1	3	3	
1	4	4	
1	5	5	
5	1	1	
5	2	2	
8	1	1	
10	1	1	
10	2	2	
10	3	3	
10	4	4	
11	1	1	
11	2	2	
11	3	3	
11	4	4	
12	1	1	
12	2	2	
13	1	1	
13	2	2	
21	1	1	
21	2	2	
21	3	3	
21	4	4	
21	5	5	
23	1	1	
23	2	2	
23	3	3	
24	1	1	
24	2	2	
24	3	3	
27	1	1	
27	2	2	
28	1	1	
28	2	2	
28	3	3	
29	1	1	
29	2	2	
29	3	3	
29	4	4	
29	5	5	
30	1	1	
30	2	2	
30	3	3	
32	1	1	
32	2	2	
33	1	1	
34	1	1	
34	2	2	
34	3	3	
35	1	1	
35	2	2	
35	3	3	
45	1	1	
46	1	1	
46	2	2	
50	1	1	
50	2	2	
52	1	1	
53	1	1	
53	2	2	
53	3	3	
53	4	4	
61	1	1	
65	1	1	
65	2	2	
65	3	3	
65	4	4	
65	5	5	
66	1	1	
66	2	2	
67	1	1	
67	2	2	
67	3	3	
68	1	1	
68	2	2	
70	1	1	
71	1	1	
71	2	2	
71	3	3	
73	1	1	
73	2	2	
73	3	3	
73	4	4	
73	5	5	
73	6	6	
73	8	7	update income set mem_id=7 where fs_id=73 and mem_id=8;
73	9	8	update income set mem_id=8 where fs_id=73 and mem_id=9;
73	10	9	update income set mem_id=9 where fs_id=73 and mem_id=10;
73	11	10	update income set mem_id=10 where fs_id=73 and mem_id=11;
76	1	1	
76	2	2	
77	1	1	
77	2	2	
79	1	1	
79	2	2	
80	1	1	
80	5	2	update income set mem_id=2 where fs_id=80 and mem_id=5;
81	1	1	
81	2	2	
81	3	3	
81	4	4	
81	5	5	
84	1	1	
84	2	2	
86	1	1	
86	2	2	
86	3	3	
87	1	1	
88	1	1	
88	2	2	
88	3	3	
88	4	4	
88	5	5	
91	1	1	
93	1	1	
95	1	1	
96	1	1	
96	3	2	update income set mem_id=2 where fs_id=96 and mem_id=3;
97	1	1	
97	2	2	
99	1	1	
99	2	2	
99	3	3	
100	1	1	
102	1	1	
103	1	1	
103	2	2	
104	1	1	
104	2	2	
106	1	1	
107	1	1	
108	1	1	
108	2	2	
109	1	1	
109	2	2	
110	1	1	
110	2	2	
110	3	3	
111	1	1	
111	2	2	
112	1	1	
112	2	2	
113	1	1	
113	2	2	
114	1	1	
117	1	1	
118	1	1	
118	2	2	
120	1	1	
122	1	1	
122	2	2	
122	3	3	
123	1	1	
125	1	1	
125	2	2	
126	1	1	
126	2	2	
128	1	1	
130	1	1	
130	2	2	
130	4	3	update income set mem_id=3 where fs_id=130 and mem_id=4;
133	1	1	
133	2	2	
133	3	3	
133	4	4	
134	1	1	
134	2	2	
136	1	1	
136	2	2	
136	3	3	
137	1	1	
137	2	2	
137	3	3	
138	1	1	
138	2	2	
140	1	1	
140	2	2	
145	1	1	
145	2	2	
146	1	1	
146	2	2	
146	3	3	
146	4	4	
146	5	5	
146	9	6	update income set mem_id=6 where fs_id=146 and mem_id=9;
146	12	7	update income set mem_id=7 where fs_id=146 and mem_id=12;
147	1	1	
148	1	1	
148	2	2	
148	3	3	
148	4	4	
149	1	1	
149	2	2	
150	1	1	
150	2	2	
152	1	1	
152	2	2	
153	1	1	
154	1	1	
154	2	2	
155	1	1	
155	2	2	
156	1	1	
159	1	1	
159	2	2	
161	1	1	
163	1	1	
163	2	2	
163	3	3	
163	4	4	
164	1	1	
164	2	2	
164	3	3	
164	4	4	
164	5	5	
166	1	1	
166	2	2	
166	3	3	
166	4	4	
167	1	1	
167	3	2	update income set mem_id=2 where fs_id=167 and mem_id=3;
167	4	3	update income set mem_id=3 where fs_id=167 and mem_id=4;
167	5	4	update income set mem_id=4 where fs_id=167 and mem_id=5;
167	6	5	update income set mem_id=5 where fs_id=167 and mem_id=6;
