mysql> SELECT FS_ID,SUM(INCOME1)+SUM(INCOME2)+SUM(INCOME3)+SUM(INCOME4) AS CY ,COUNT(MEM_ID) FROM INCOME GROUP BY FS_ID,MEM_ID;
+-------+-------+---------------+
| FS_ID | CY    | COUNT(MEM_ID) |
+-------+-------+---------------+
|     1 |  1500 |             3 |
|     1 |     0 |             3 |
|     1 |  7134 |             3 |
|     1 |     0 |             3 |
|     1 |     0 |             3 |
|     5 |   315 |             3 |
|     5 |   318 |             3 |
|     8 |  4827 |             3 |
|    10 |   702 |             3 |
|    10 |  1287 |             3 |
|    10 |  1194 |             3 |
|    10 |   450 |             3 |
|    11 |  1911 |             3 |
|    11 |  1608 |             3 |
|    11 |  1125 |             3 |
|    11 |  1287 |             3 |
|    12 |   810 |             3 |
|    12 |   480 |             3 |
|    13 |   870 |             3 |
|    13 |   600 |             3 |
|    21 |   483 |             3 |
|    21 |   645 |             3 |
|    21 |   486 |             3 |
|    21 |   390 |             3 |
|    21 |   360 |             3 |
|    23 |   966 |             3 |
|    23 |     0 |             3 |
|    23 |     0 |             3 |
|    24 |   486 |             3 |
|    24 |   486 |             3 |
|    24 |     0 |             3 |
|    27 |   900 |             3 |
|    27 |   801 |             3 |
|    28 |   738 |             3 |
|    28 |   483 |             3 |
|    28 |   774 |             3 |
|    29 |   723 |             3 |
|    29 |   723 |             3 |
|    29 |   480 |             3 |
|    29 |  1194 |             3 |
|    29 |   546 |             3 |
|    30 |   354 |             3 |
|    30 |   465 |             3 |
|    30 |   468 |             3 |
|    32 |  4779 |             3 |
|    32 |  1275 |             3 |
|    33 |   807 |             3 |
|    34 |   990 |             3 |
|    34 |   600 |             3 |
|    34 |   600 |             3 |
|    35 |  1029 |             3 |
|    35 |   579 |             3 |
|    35 |   807 |             3 |
|    45 |  6375 |             3 |
|    46 | 14529 |             3 |
|    46 |  9687 |             3 |
|    50 |  1032 |             3 |
|    50 |   708 |             3 |
|    52 |   639 |             3 |
|    53 |  4176 |             3 |
|    53 |   795 |             3 |
|    53 |   483 |             3 |
|    53 |   516 |             3 |
