mysql> SELECT FS_ID,MEM_ID,SUM(INCOME1)+SUM(INCOME2)+SUM(INCOME3)+SUM(INCOME4) AS CY ,COUNT(MEM_ID)AS MONTHS_COUNT FROM INCOME GROUP BY FS_ID,MEM_ID ;
+-------+--------+-------+--------------+
| FS_ID | MEM_ID | CY    | MONTHS_COUNT |
+-------+--------+-------+--------------+
|     1 |      1 |  1500 |            3 |
|     1 |      2 |     0 |            3 |
|     1 |      3 |  7134 |            3 |
|     1 |      4 |     0 |            3 |
|     1 |      5 |     0 |            3 |
|     5 |      1 |   315 |            3 |
|     5 |      2 |   318 |            3 |
|     8 |      1 |  4827 |            3 |
|    10 |      1 |   702 |            3 |
|    10 |      2 |  1287 |            3 |
|    10 |      3 |  1194 |            3 |
|    10 |      4 |   450 |            3 |
|    11 |      1 |  1911 |            3 |
|    11 |      2 |  1608 |            3 |
|    11 |      3 |  1125 |            3 |
|    11 |      4 |  1287 |            3 |
|    12 |      1 |   810 |            3 |
|    12 |      2 |   480 |            3 |
|    13 |      1 |   870 |            3 |
|    13 |      2 |   600 |            3 |
|    21 |      1 |   483 |            3 |
|    21 |      2 |   645 |            3 |
|    21 |      3 |   486 |            3 |
|    21 |      4 |   390 |            3 |
|    21 |      5 |   360 |            3 |
|    23 |      1 |   966 |            3 |
|    23 |      2 |     0 |            3 |
|    23 |      3 |     0 |            3 |
|    24 |      1 |   486 |            3 |
|    24 |      2 |   486 |            3 |
|    24 |      3 |     0 |            3 |
|    27 |      1 |   900 |            3 |
|    27 |      2 |   801 |            3 |
|    28 |      1 |   738 |            3 |
|    28 |      2 |   483 |            3 |
|    28 |      3 |   774 |            3 |
|    29 |      1 |   723 |            3 |
|    29 |      2 |   723 |            3 |
|    29 |      3 |   480 |            3 |
|    29 |      4 |  1194 |            3 |
|    29 |      5 |   546 |            3 |
|    30 |      1 |   354 |            3 |
|    30 |      2 |   465 |            3 |
|    30 |      3 |   468 |            3 |
|    32 |      1 |  4779 |            3 |
|    32 |      2 |  1275 |            3 |
|    33 |      1 |   807 |            3 |
