mysql> SELECT FS_ID,SUM(CY) AS CY,COUNT(MEM_ID) AS EARNERS FROM INCOME_MEM_EARNERS WHERE CY<>0 GROUP BY FS_ID ;
+-------+-------+---------+
| FS_ID | CY    | EARNERS |
+-------+-------+---------+
|     1 |  8634 |       2 |
|     5 |   633 |       2 |
|     8 |  4827 |       1 |
|    10 |  3633 |       4 |
|    11 |  5931 |       4 |
|    12 |  1290 |       2 |
|    13 |  1470 |       2 |
|    21 |  2364 |       5 |
|    23 |   966 |       1 |
|    24 |   972 |       2 |
|    27 |  1701 |       2 |
|    28 |  1995 |       3 |
|    29 |  3666 |       5 |
|    30 |  1287 |       3 |
|    32 |  6054 |       2 |
|    33 |   807 |       1 |
|    34 |  2190 |       3 |
|    35 |  2415 |       3 |
|    45 |  6375 |       1 |
|    46 | 24216 |       2 |
|    50 |  1740 |       2 |
|    52 |   639 |       1 |
|    53 |  5970 |       4 |
|    61 |  4500 |       1 |
|    65 | 20184 |       5 |
|    66 |  4500 |       1 |
|    67 |  8778 |       2 |
|    68 |  7134 |       2 |
|    70 |  4500 |       1 |
|    71 | 18768 |       3 |
|    73 | 27675 |       5 |
|    76 | 12483 |       2 |
|    77 |  2250 |       1 |
|    79 |  1500 |       1 |
|    80 |  6900 |       2 |
|    81 | 12123 |       3 |
|    84 |  4500 |       1 |
|    86 |  6816 |       2 |
|    87 |  6567 |       1 |
|    88 | 41778 |       4 |
|    91 |  2136 |       1 |
|    93 |  1800 |       1 |
|    95 |  6741 |       1 |
|    96 |  7707 |       2 |
|    97 | 16392 |       2 |
|    99 |  6567 |       1 |
|   100 |  4038 |       1 |
|   102 |  6756 |       1 |
|   103 |  6174 |       2 |
|   104 | 12024 |       2 |
|   106 |  3543 |       1 |
|   107 | 14274 |       1 |
|   108 |  1434 |       2 |
|   109 |  2724 |       2 |
|   110 |  4887 |       3 |
|   111 |  1923 |       2 |
|   112 |  1608 |       2 |
|   113 |   984 |       2 |
|   114 |   804 |       1 |
|   117 |   807 |       1 |
|   118 |  1290 |       2 |
|   120 | 14274 |       1 |
|   122 |  1440 |       3 |
|   123 |   798 |       1 |
|   125 |  2742 |       2 |
|   126 |  4677 |       2 |
|   128 |   546 |       1 |
|   130 |  3051 |       3 |
|   133 | 22335 |       2 |
|   134 |  6240 |       2 |
|   136 |  4500 |       1 |
|   137 | 12207 |       2 |
|   138 |  4200 |       1 |
|   140 | 17580 |       2 |
|   145 | 18123 |       2 |
|   146 | 18546 |       4 |
|   147 |  7992 |       1 |
|   148 |  6000 |       1 |
|   149 |  5400 |       1 |
|   150 | 13128 |       2 |
|   152 | 52200 |       1 |
|   153 |  3000 |       1 |
|   154 |  6060 |       2 |
|   155 |  4500 |       1 |
|   156 | 11991 |       1 |
|   161 |  7134 |       1 |
|   163 |  9567 |       2 |
|   164 | 18123 |       4 |
|   166 | 12417 |       3 |
|   167 | 42543 |       9 |
|   170 |  6000 |       1 |
|   172 | 11109 |       2 |
|   174 |  4500 |       1 |
|   175 | 15195 |       2 |
|   177 | 11634 |       3 |
|   178 | 24111 |       4 |
|   179 | 19479 |       5 |
|   180 |  4500 |       1 |
|   181 |  4500 |       1 |
|   185 | 14127 |       3 |
|   186 |  4500 |       1 |
|   188 | 13059 |       3 |
|   190 |  8634 |       1 |
|   191 |  2787 |       2 |
|   195 | 18120 |       4 |
|   198 |  6000 |       1 |
|   201 | 10167 |       2 |
|   202 | 18123 |       2 |
|   205 | 13416 |       2 |
|   208 |  6567 |       2 |
|   209 | 16017 |       2 |
|   211 | 10521 |       2 |
|   212 |  4992 |       1 |
|   213 |  1500 |       1 |
|   215 | 10917 |       2 |
|   216 | 15051 |       2 |
|   217 |  4500 |       1 |
|   218 | 15690 |       4 |
|   219 | 28032 |       5 |
|   221 | 13266 |       2 |
|   223 | 23184 |       2 |
|   225 | 15333 |       4 |
|   226 | 10701 |       2 |
|   227 |  7716 |       2 |
|   229 |  5400 |       1 |
|   230 |  3993 |       1 |
|   231 | 10134 |       2 |
|   233 | 10035 |       1 |
|   234 | 13383 |       4 |
|   237 | 21615 |       4 |
|   239 |  8490 |       2 |
|   241 | 10557 |       3 |
|   242 | 13500 |       1 |
|   243 | 12591 |       2 |
|   244 | 25968 |       5 |
|   245 | 14481 |       3 |
|   246 | 10416 |       2 |
|   247 | 11412 |       2 |
|   249 | 15912 |       3 |
|   252 | 33909 |       6 |
|   254 | 13227 |       3 |
|   256 | 26328 |       2 |
|   258 | 25335 |       1 |
|   259 | 18012 |       2 |
|   261 | 17910 |       3 |
|   262 | 15804 |       2 |
|   264 | 18000 |       1 |
|   265 | 47415 |       6 |
|   266 | 26088 |       2 |
|   267 | 16101 |       2 |
|   268 |  5400 |       1 |
|   271 |  6000 |       1 |
|   272 |  5703 |       2 |
|   273 |  8673 |       2 |
|   274 |  8916 |       2 |
|   275 |  4635 |       1 |
|   276 | 18723 |       2 |
|   277 | 13230 |       2 |
|   278 | 14127 |       3 |
|   279 |  9135 |       2 |
|   280 | 16443 |       4 |
|   281 |  7707 |       2 |
|   282 |  9384 |       1 |
|   283 | 10203 |       1 |
|   286 | 11985 |       3 |
|   288 |  5577 |       1 |
|   289 |  6078 |       1 |
|   290 |  6993 |       2 |
|   291 |  4500 |       1 |
|   292 | 11634 |       1 |
|   293 |  6900 |       2 |
|   295 | 12060 |       2 |
|   297 | 12417 |       2 |
|   300 | 11703 |       2 |
|   301 |  3207 |       1 |
|   302 | 23268 |       2 |
|   303 | 14841 |       2 |
|   304 | 11712 |       2 |
|   306 |  4500 |       1 |
|   308 |  7707 |       2 |
|   309 | 16935 |       2 |
|   310 | 11634 |       1 |
|   312 | 13056 |       2 |
|   313 | 20718 |       5 |
|   314 | 16263 |       4 |
|   316 | 10695 |       2 |
|   317 | 22398 |       4 |
|   318 |  7767 |       3 |
|   319 | 15300 |       2 |
|   320 |  2100 |       1 |
|   323 |  6135 |       1 |
|   324 |  8928 |       2 |
|   325 |  6501 |       2 |
|   326 |  8007 |       2 |
|   327 |  1800 |       1 |
|   328 | 11892 |       2 |
|   329 | 11913 |       4 |
|   330 | 14970 |       3 |
|   333 |  4707 |       2 |
|   334 |  5133 |       1 |
|   335 |  1500 |       1 |
|   336 |  9162 |       2 |
|   337 | 11460 |       2 |
|   338 | 13413 |       2 |
|   339 | 13551 |       2 |
|   340 | 10890 |       2 |
|   341 |  9915 |       2 |
|   347 |  2238 |       1 |
|   348 |  2190 |       1 |
|   349 |  5061 |       2 |
|   351 |   966 |       1 |
|   358 |  4878 |       2 |
|   359 |  1290 |       1 |
|   360 |   642 |       2 |
|   365 |  3216 |       1 |
|   366 |  6417 |       2 |
|   368 |  1929 |       1 |
|   369 |   780 |       2 |
|   372 |  1809 |       1 |
|   375 |  1230 |       2 |
|   376 |  9327 |       2 |
|   378 |  8046 |       1 |
|   380 |  2895 |       1 |
|   382 |  2313 |       4 |
|   383 |   720 |       3 |
|   384 |  3453 |       2 |
|   389 |  2136 |       1 |
|   393 | 11052 |       2 |
|   400 |  4992 |       1 |
|   409 |  4671 |       1 |
|   412 |  7062 |       1 |
|   414 |  7575 |       2 |
|   415 |  8343 |       2 |
|   417 |  4320 |       1 |
|   420 |  3300 |       1 |
|   422 |  4170 |       1 |
|   423 |  9222 |       1 |
|   425 | 11145 |       2 |
|   426 | 13989 |       2 |
|   429 |  1500 |       1 |
|   430 |  1488 |       1 |
|   432 |  3192 |       1 |
|   434 |  1530 |       1 |
|   436 |  1482 |       2 |
|   438 |  4269 |       3 |
|   442 |  2607 |       2 |
|   443 |  2094 |       2 |
|   444 |  3126 |       2 |
|   446 |  2112 |       2 |
|   447 |  1452 |       1 |
|   449 |  2736 |       2 |
|   450 |  3705 |       3 |
|   452 |  2730 |       1 |
|   453 |  3648 |       2 |
|   454 |  2574 |       2 |
|   455 |  2973 |       2 |
|   456 |  3156 |       3 |
|   458 |  1350 |       1 |
|   461 |  1890 |       2 |
|   462 |  1548 |       1 |
|   463 |  2127 |       2 |
|   464 |  1887 |       2 |
|   465 |  3198 |       3 |
|   466 |  1955 |       2 |
|   468 |  1548 |       1 |
|   470 |  2580 |       1 |
|   471 |  2097 |       1 |
|   472 |  2775 |       2 |
|   473 |  2709 |       1 |
|   474 |  2895 |       2 |
