mysql> select FS_ID
    -> ,NAT_ID
    -> , count(mem_id)as membersCount 
    -> ,SUM(INCOME1)
    -> ,SUM(INCOME2)
    -> ,SUM(INCOME3)
    -> ,SUM(INCOME4)
    -> ,SUM(INCOME5)
    -> ,SUM(INCOME6)
    -> ,SUM(INCOME7)
    -> ,SUM(INCOME8)
    -> 
    -> ,SUM(INCOME1)
    -> +SUM(INCOME2)
    -> +SUM(INCOME3)
    -> +SUM(INCOME4)
    -> +SUM(INCOME5)
    -> +SUM(INCOME6)
    -> +SUM(INCOME7)
    -> +SUM(INCOME8)
    ->  AS INCOMES
    ->  
    -> ,CEILING((
    -> SUM(INCOME1)
    -> +SUM(INCOME2)
    -> +SUM(INCOME3)
    -> +SUM(INCOME4)
    -> +SUM(INCOME5)
    -> +SUM(INCOME6)
    -> +SUM(INCOME7)
    -> +SUM(INCOME8)
    -> -50)/200) AS CLASS_INCOMES
    -> 
    -> ,CEILING((SUM(INCOME1)-50)/200) AS CLASS_INCOME1
    -> ,CEILING((SUM(INCOME2)-50)/200) AS CLASS_INCOME2
    -> ,CEILING((SUM(INCOME3)-50)/200) AS CLASS_INCOME3
    -> ,CEILING((SUM(INCOME4)-50)/200) AS CLASS_INCOME4
    -> ,CEILING((SUM(INCOME5)-50)/200) AS CLASS_INCOME5
    -> ,CEILING((SUM(INCOME6)-50)/200) AS CLASS_INCOME6
    -> ,CEILING((SUM(INCOME7)-50)/200) AS CLASS_INCOME7
    -> ,CEILING((SUM(INCOME8)-50)/200) AS CLASS_INCOME8
    -> 
    -> FROM INCOME GROUP BY FS_ID
    -> ORDER BY NAT_ID,CLASS_INCOMES,FS_ID;
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
| FS_ID | NAT_ID | membersCount | SUM(INCOME1) | SUM(INCOME2) | SUM(INCOME3) | SUM(INCOME4) | SUM(INCOME5) | SUM(INCOME6) | SUM(INCOME7) | SUM(INCOME8) | INCOMES | CLASS_INCOMES | CLASS_INCOME1 | CLASS_INCOME2 | CLASS_INCOME3 | CLASS_INCOME4 | CLASS_INCOME5 | CLASS_INCOME6 | CLASS_INCOME7 | CLASS_INCOME8 |
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
|  2534 |      1 |            9 |         3174 |          840 |            0 |         1500 |         2619 |            0 |            0 |       -12750 |   -4617 |           -23 |            16 |             4 |             0 |             8 |            13 |             0 |             0 |           -64 |
|  3874 |      1 |            3 |            0 |            0 |            0 |            0 |          900 |          420 |            0 |            0 |    1320 |             7 |             0 |             0 |             0 |             0 |             5 |             2 |             0 |             0 |
|  2507 |      1 |            3 |            0 |          690 |            0 |         1350 |            0 |            0 |            0 |            0 |    2040 |            10 |             0 |             4 |             0 |             7 |             0 |             0 |             0 |             0 |
|  2569 |      1 |            3 |            0 |            0 |            0 |            0 |         1950 |            0 |            0 |            0 |    1950 |            10 |             0 |             0 |             0 |             0 |            10 |             0 |             0 |             0 |
|  1223 |      1 |            3 |            0 |            0 |            0 |            0 |         2130 |            0 |            0 |            0 |    2130 |            11 |             0 |             0 |             0 |             0 |            11 |             0 |             0 |             0 |
|  1831 |      1 |            3 |            0 |            0 |            0 |            0 |         2190 |            0 |            0 |            0 |    2190 |            11 |             0 |             0 |             0 |             0 |            11 |             0 |             0 |             0 |
|  3725 |      1 |            3 |            0 |            0 |            0 |            0 |         2190 |            0 |            0 |            0 |    2190 |            11 |             0 |             0 |             0 |             0 |            11 |             0 |             0 |             0 |
|  1811 |      1 |            6 |            0 |            0 |            0 |            0 |         2400 |            0 |            0 |            0 |    2400 |            12 |             0 |             0 |             0 |             0 |            12 |             0 |             0 |             0 |
|  2039 |      1 |            6 |            0 |            0 |            0 |            0 |         2400 |            0 |            0 |            0 |    2400 |            12 |             0 |             0 |             0 |             0 |            12 |             0 |             0 |             0 |
|  3495 |      1 |            3 |            0 |            0 |            0 |            0 |         2340 |            0 |            0 |            0 |    2340 |            12 |             0 |             0 |             0 |             0 |            12 |             0 |             0 |             0 |
|  1550 |      1 |            3 |            0 |            0 |            0 |            0 |         1500 |         1050 |            0 |            0 |    2550 |            13 |             0 |             0 |             0 |             0 |             8 |             5 |             0 |             0 |
