Nationality 1

subProduct-code	0:income-class-index	1:income-class-index	2:income-class-index	3:income-class-index	4:income-class-index	5:income-class-index	6:income-class-index	7:income-class-index	8:income-class-index	9:income-class-index	10:income-class-index	11:income-class-index	12:income-class-index	13:income-class-index	14:income-class-index	15:income-class-index
111	440.1600005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181692.1831
112	218.8700002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294149.796
113	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144396.39
114	116.6900008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113327.349
115	43.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35892.09201
116	45.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74823.92798
117	98.349999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87354.29805
118	29.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55459.94698
119	26.1000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52424.64097
121	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39037.63505
122	36.3400001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79404.89698
220	110.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8231.212997
311	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91176.98
312	759.5000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004080.948
313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30829.254
314	30.7000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140607.585
321	256.0000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152261.705
421	1500	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	3550195
431	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171385.82
432	74.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284501.97
441	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69148.25
442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11837.75
451	80.0000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138783.85
452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10590.715
454	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511	72.9999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303805.46
512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73013.855
520	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174358.41
531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138108.255
532	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41579.31
533	0	0	0	0	0	0	0	0	0	0	0	890.4	0	0	0	33833.35
540	126.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202224.819
551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15	0
552	101.8899999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64319
561	51.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233151.1763
562	160	0	0	0	0	0	0	0	0	0	0	3543.720001	0	0	0	557579.73
611	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47033.735
612	0	0	0	0	0	0	0	0	0	0	0	0	0	80.8100001	0	0
613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23197.885
621	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	24145.1
712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
713	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1510.4
714	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
721	20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118048.615
722	220.2499988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554241.031
723	158.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218176.279
724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15434.25001
733	200	0	0	0	0	0	0	0	0	0	0	0	0	1440	0	246714.27
820	224.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132896.29
830	166.0000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306890.862
911	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69634.929
914	28.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
915	0	0	0	0	0	0	0	0	0	0	0	0	0	241.0000002	0	0
921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4576.11
923	73.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41821.435
932	0	0	0	0	0	0	0	0	0	0	0	0	0	202.8	0	33163.235
933	5.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6209.445002
941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86192.675
942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8503.95
951	0	0	0	0	0	0	0	0	0	0	0	0	0	245.8500002	0	0
952	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9635.385
953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.25	0
954	526.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65024.135
1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75868.825
1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151078.9
1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6652
1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39423.5
1050	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	0	0
1111	34.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282146.185
1112	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64922.68
1120	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100483.16
1211	86.5000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127000.195
1212	28.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10914.18
1213	195.9499995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420595.6799
1231	104.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114712.953
1232	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94049.775
1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549.25
1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106
1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10720.653
1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410.25
1270	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963264.585
1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43358.925
1320	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014379.926


Nationality 2

subProduct-code	0:income-class-index	1:income-class-index	2:income-class-index	3:income-class-index	4:income-class-index	5:income-class-index	6:income-class-index	7:income-class-index	8:income-class-index	9:income-class-index	10:income-class-index	11:income-class-index	12:income-class-index	13:income-class-index	14:income-class-index	15:income-class-index
111	0	0	25.65	48.6949983	969.3300065	2893.349987	2955.065001	4378.865012	6957.428021	3727.04	4265.355007	5309.510006	4802.584985	6178.649987	3153.765006	0
112	0	0	21.7	64.8400001	1056.854999	2426.06	4071.785019	5424.879998	5799.330001	5172.460001	5954.390002	7608.576	5720.02	5501.430002	5272.737999	0
113	0	0	16.1	29.7200001	544.5189993	1022.725	1159.728998	2374.104999	2068.300001	2541.669992	2232.119999	3163.825001	2694.415	1917.57	1537.11	0
114	0	0	11.4	23.6599998	817.4150011	1576.220011	1725.47001	3100.474999	2872.749998	2867.230992	2460.945003	3131.424992	2920.996007	2253.969997	2170.938998	0
115	0	0	6.5	14.09	202.8100008	419.625	435.2400003	811.2099998	1009.66	597.0750008	950.3000007	885.6500001	997.4500003	814.1379998	871.8390006	0
116	0	0	6.05	19.2950002	416.9500001	819.1899998	2681.600014	1618.204998	1796.031001	1401.085	1528.2	1915.549996	1846.970002	1445.629997	1565.187998	0
117	0	0	13.8200001	54.6150002	687.7349981	1797.705002	2240.884997	3053.574997	3353.217998	2497.749994	2916.510993	2911.288997	2940.705005	2460.273993	2147.675	0
118	0	0	2.685	5.6499999	360.5050022	473.96	665.7099983	1058.835005	1395.385001	852.5349998	1044.355001	1207.804998	1156.584999	837.1599995	1157.860003	0
119	0	0	8.2600003	11.9650002	319.2199928	726.6899783	1219.305003	1691.310016	1043.695	674.8950028	1031.874997	1380.115996	1046.955002	1026.434997	803.2249997	0
121	0	0	1.8	3.9900001	108.895	295.3000012	1049.935014	941.3850049	681.1850005	283.7100002	501.4399998	589.9050021	560.4199964	356.2949999	335.5549993	0
122	0	0	1.8	15.2299994	256.4499996	554.8699996	733.2699974	1291.620001	1636.011002	1142.694995	1536.240001	3019.799993	1280.260005	1175.948005	1340.200003	0
220	0	0	0	25.3499991	70.9000006	260.7499993	133.9700006	452.7500015	667.3860006	297.550001	343.3500013	317.2099995	410.7340002	158.5000007	496.0700017	0
311	0	0	0	756.1500005	392.6500005	179.75	139	1054.35	884.5	378.75	603.7500002	686.3999999	940.5	640.25	820.5	0
312	0	0	103.5400004	242.4500002	2930.575002	8591.775005	8567.972004	17180.075	20189.88	11854.85	18221.995	19086.32	21756.41	14938.75	17868.15999	0
313	0	0	0	16.75	101.995	377.5399997	362.4099997	399.1949999	1002.725	763.1499993	692.2050005	707.48	942.8749995	558.4499992	1050.95	0
314	0	0	0	13.3	212.8000008	363.5999997	311.6999997	1328.025005	1397.66	737.4000013	868.9000018	1210.849999	1424.700003	960.6500004	1139.950001	0
321	0	0	27.7499999	47.1	679.8499999	1517.33	1704.195	2957.88	3438.334999	1852.484999	2877.759999	3838.629999	3083.61	2549.99	2558.1	0
322	0	0	0	1.05	19.95	73.4699996	13.0000001	46.1999998	50.845	24.625	40.8100003	50.6850001	38.4799997	52.4600001	12.35	1039.89
411	0	0	540	1200	12190	31898	36090	60304.5	67415	41555	59696	64121	62319	49664	51140	695289
421	0	0	0	360	930	420	540	450	600	760	0	1260	0	0	50	0
431	0	0	0	0	55.85	233.1800002	172.2999999	425.3399999	865.84	119.265	393	413.235	465.73	448.7000001	376.4499999	0
432	0	0	6	0	56.5	244.7500001	245.5	1451.6	844.85	366.0000001	896.8500001	957.75	679	645	1134.25	0
441	0	0	9	55.5	378.9999999	925.9999998	835.4999999	1514.5	1657.749999	1061.5	1444.5	1404.199999	1342	1171.75	1058	0
442	0	0	6	7	187.9999999	560.5000001	477.9999999	898.9999998	1228	785.9999993	1132.75	1347	1135.000001	844.5000003	1053	0
443	0	0	0	1.5	3	0.65	3	6.25	0.85	5.79	1.4	10	15.45	5	2	1120.365
451	0	0	21	107.0000001	577.7500003	1390	1295.5	2441.8	2569.25	1573.6	2379.25	2224.25	2345.5	1838.9	1775	0
452	0	0	7.75	14.75	126.5999996	405.9500001	407.3500001	442.6000007	463.7000005	375.2049996	406.9999995	339.1449999	320.9899996	302.4999999	256.0150004	0
453	0	0	0	0	0.5	0	1.2	37.5000002	130.1000009	0	7.05	23.925	1.1	1.65	0	3183.38
454	0	0	0	0	23.1699997	44.6199999	70.9249996	119.9999999	78.2550001	62.3100002	77.5349998	126.8050001	95.425	76.6799999	81.37	6980.999993
511	0	0	0.1	29	302.9950001	1090.905	1180.24	2162.17	2405.875	1063.35	4109.33	4179.635	2113.56	3016.585001	4592.665	0
512	0	0	0	7	190.25	268.4800001	263.1	378.595	631.2100003	687.1349999	678.7	1112.99	665.45	1303.62	694.3000001	0
513	0	0	0	0	0	0	0	12	10	55	5	8	14	0	3	1859.25
520	0	0	5.5900001	24.75	720.8500007	1231.599999	1336.1	2570.270003	3283.144999	1663.765	2544.509998	3433.220002	2801.005001	3894.65	2475.839999	0
531	0	0	0	15	374.65	928.44	861.14	1462.37	3284.27	1348.525	2215.44	2465.23	2209.84	2159.04	2609.44	0
532	0	0	2.9	7	249.79	488.0100002	742.8900002	1106.5	1023.345	875.1499999	1318.225	1626.275	942.5349999	1225.425	919.3699999	0
533	0	0	5	10	156	411.75	409.2499999	646.9000001	774	590.25	813.7499999	0	666.9999999	855.9999999	593	0
540	0	0	4.3	46.71	565.949999	1648.209998	2198.445003	3244.905003	2743.399997	2465.824998	3333.130002	4843.979996	3166.370002	2864.505	3524.200001	0
551	0	0	0	0	0	1.3	3.25	25.2	12	1.5	17.745	13.9	16.89	12.1	0	2548.085
552	0	0	6.3	4.3999999	1815.610001	414.6899989	511.3199981	825.8099998	835.7899983	742.7499994	1153.28	882.8450009	1173.719999	667.485	586.270001	0
561	0	0	21.9199996	71.2749992	1125.434999	3097.699998	4495.764999	5844.659025	6119.525003	3056.599999	4694.854998	5374.379997	4359.189998	3855.591998	4735.056001	0
562	0	0	0.5	5	19.8	273.0000001	200.5	435.2000001	1265.25	409.75	1496.55	0	2347.939999	1137.000001	2244.890001	0
611	0	0	3.0999999	6.9999998	187.7450001	504.5899998	741.2399997	1154.464999	1503.209999	798.6649991	881.1599991	1392.935	1195.375001	903.1800006	754.2200002	0
612	0	0	0	0	20.615	40.1000002	39.8849997	103.095	47.535	96.42	91.4999999	57.3849999	63.135	0	98.635	2759.28
613	0	0	0	0	120.1	158	232.5	456.3500001	459.85	274	411	518.75	647.6500001	560.75	306.7	0
621	0	0	0	0	32	131	211	225.5	447	229.0000001	262.5	0	429.5000001	512.9999999	250	0
622	0	0	0	0	0	3	15	25	48	64	87	100	62	304	307	23381.7
623	0	0	0	0	28	143	126	67	221.4	80.75	131.3	180	172	201	5.5	16888.275
624	0	0	0	0	72	150	128	1344	654	410	206	1028	104	312	555	5432
630	0	0	0	0	0.35	8	1.32	12.8	40	39	11.5	447	0	16	200	70620.14
711	0	0	0	0	0	0	0	0	500.2	0	0	0	0	1.35	0	108698.5
712	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
713	0	0	0	0	0	10	25	6.5	16.5	2	0	35	58.25	0	216.5	0
714	0	0	0	0	0	0	17.9	0	0	0	0	0	0	0	0	1459.25
721	0	0	0	0	191.25	254.7999997	587.25	1123.35	1478.05	1037.7	1158.2	2248.595	1346.309999	1440.35	2016.2	0
