mysql> select CLASS_INCOMES,substring(i,1,4),sum(p*qt),nat_id from e2,incomeclass where fs_id=f group by CLASS_INCOMES,substring(i,1,4) order by nat_id,CLASS_INCOMES,substring(i,1,4);
+---------------+------------------+---------------+--------+
| CLASS_INCOMES | substring(i,1,4) | sum(p*qt)     | nat_id |
+---------------+------------------+---------------+--------+
|           -23 | 0111             |   440.1600005 |      1 |
|           -23 | 0112             |   218.8700002 |      1 |
|           -23 | 0113             |   104.0000000 |      1 |
|           -23 | 0114             |   116.6900008 |      1 |
|           -23 | 0115             |    43.9500000 |      1 |
|           -23 | 0116             |    45.9500000 |      1 |
|           -23 | 0117             |    98.3499990 |      1 |
|           -23 | 0118             |    29.2000000 |      1 |
|           -23 | 0119             |    26.1000001 |      1 |
|           -23 | 0121             |     6.0000000 |      1 |
|           -23 | 0122             |    36.3400001 |      1 |
|           -23 | 0220             |   110.5000000 |      1 |
|           -23 | 0311             |    35.0000000 |      1 |
|           -23 | 0312             |   759.5000003 |      1 |
|           -23 | 0314             |    30.7000001 |      1 |
|           -23 | 0321             |   256.0000001 |      1 |
|           -23 | 0421             |  1500.0000000 |      1 |
|           -23 | 0431             |    30.0000000 |      1 |
|           -23 | 0432             |    74.5000000 |      1 |
|           -23 | 0441             |   135.0000000 |      1 |
|           -23 | 0451             |    80.0000001 |      1 |
|           -23 | 0454             |     1.5000000 |      1 |
|           -23 | 0511             |    72.9999999 |      1 |
|           -23 | 0520             |    26.0000000 |      1 |
|           -23 | 0532             |     8.0000000 |      1 |
|           -23 | 0540             |   126.4000000 |      1 |
|           -23 | 0552             |   101.8899999 |      1 |
|           -23 | 0561             |    51.2500000 |      1 |
|           -23 | 0562             |   160.0000000 |      1 |
|           -23 | 0611             |     2.5000000 |      1 |
|           -23 | 0714             |     2.0000000 |      1 |
|           -23 | 0721             |    20.5000000 |      1 |
|           -23 | 0722             |   220.2499988 |      1 |
|           -23 | 0723             |   158.4000000 |      1 |
|           -23 | 0733             |   200.0000000 |      1 |
|           -23 | 0820             |   224.5000000 |      1 |
|           -23 | 0830             |   166.0000005 |      1 |
|           -23 | 0911             |    58.0000000 |      1 |
|           -23 | 0914             |    28.2500000 |      1 |
|           -23 | 0923             |    73.5000000 |      1 |
|           -23 | 0933             |     5.2500000 |      1 |
|           -23 | 0952             |     2.9000000 |      1 |
|           -23 | 0954             |   526.7000000 |      1 |
|           -23 | 1111             |    34.6500000 |      1 |
|           -23 | 1112             |    24.5000000 |      1 |
|           -23 | 1120             |   400.0000000 |      1 |
|           -23 | 1211             |    86.5000005 |      1 |
|           -23 | 1212             |    28.2500000 |      1 |
|           -23 | 1213             |   195.9499995 |      1 |
|           -23 | 1231             |   104.5000000 |      1 |
|           -23 | 1232             |    60.0000000 |      1 |
|           -23 | 1270             |     6.0000000 |      1 |
|           -23 | 1320             |   216.0000000 |      1 |
|            10 | 0421             |  1350.0000000 |      1 |
|            11 | 0533             |   890.4000000 |      1 |
|            11 | 0562             |  3543.7200009 |      1 |
|            11 | 0621             |   269.0000000 |      1 |
|            13 | 0612             |    80.8100001 |      1 |
|            13 | 0713             |    50.0000000 |      1 |
|            13 | 0733             |  1440.0000000 |      1 |
|            13 | 0915             |   241.0000002 |      1 |
|            13 | 0932             |   202.8000000 |      1 |
|            13 | 0951             |   245.8500002 |      1 |
|            13 | 1050             |  1151.0000001 |      1 |
|            14 | 0551             |     9.1500000 |      1 |
|            14 | 0953             |   138.2500000 |      1 |
|            15 | 0512             |   414.7400000 |      1 |
|            15 | 1112             |   378.8100024 |      1 |
|            16 | 0421             |  1050.0000000 |      1 |
|            16 | 0443             |    11.0000000 |      1 |
|            17 | 0322             |    14.6200000 |      1 |
|            17 | 0431             |   205.5099999 |      1 |
|            17 | 0432             |   477.7500000 |      1 |
|            17 | 0454             |    23.2350000 |      1 |
|            17 | 0512             |   615.5799999 |      1 |
|            17 | 0531             |  1869.5500000 |      1 |
|            17 | 0532             |   539.9699999 |      1 |
|            17 | 0562             |  2356.0000000 |      1 |
|            17 | 0613             |   245.2400000 |      1 |
|            17 | 0621             |   119.0000001 |      1 |
|            17 | 0622             |    34.8800000 |      1 |
|            17 | 0913             |   414.6000000 |      1 |
|            17 | 0932             |    36.8000000 |      1 |
|            17 | 0933             |    62.4999999 |      1 |
|            17 | 0951             |   427.7499999 |      1 |
|            17 | 0952             |    94.0999978 |      1 |
|            17 | 1040             |   250.0000000 |      1 |
|            17 | 1050             |   675.0000000 |      1 |
|            17 | 1120             |    40.0000000 |      1 |
|            17 | 1212             |    87.6750000 |      1 |
|            17 | 1320             |  6966.2199980 |      1 |
|            18 | 0421             |  1050.0000000 |      1 |
|            18 | 0432             |   439.0000001 |      1 |
|            18 | 0733             |  5830.0000000 |      1 |
|            18 | 1040             |   105.0000000 |      1 |
|            18 | 1120             |   375.0000000 |      1 |
|            19 | 0421             |  2165.0000000 |      1 |
|            19 | 0533             |   169.5000000 |      1 |
|            19 | 0613             |   266.0000001 |      1 |
|            19 | 0922             |    29.9900000 |      1 |
|            19 | 0932             |   101.3000001 |      1 |
|            19 | 1112             |   196.7000000 |      1 |
|            19 | 1240             |     9.0000000 |      1 |
|            20 | 0111             |  1704.0100013 |      1 |
|            20 | 0112             |  3286.9249996 |      1 |
|            20 | 0113             |   908.7550001 |      1 |
|            20 | 0114             |  1396.6110017 |      1 |
|            20 | 0115             |   406.6900000 |      1 |
|            20 | 0116             |   934.0149995 |      1 |
|            20 | 0117             |  1463.7099970 |      1 |
|            20 | 0118             |   441.3999990 |      1 |
|            20 | 0119             |   439.8899990 |      1 |
|            20 | 0121             |   333.0149997 |      1 |
|            20 | 0122             |   676.3100002 |      1 |
|            20 | 0311             |   911.9999988 |      1 |
|            20 | 0312             | 10649.4800006 |      1 |
|            20 | 0313             |   349.3000002 |      1 |
|            20 | 0314             |   978.6999987 |      1 |
|            20 | 0321             |  1550.2400001 |      1 |
|            20 | 0411             | 28695.0000000 |      1 |
|            20 | 0421             |  5100.0000000 |      1 |
|            20 | 0441             |   803.4999999 |      1 |
|            20 | 0442             |   484.0000003 |      1 |
|            20 | 0451             |  1411.9999998 |      1 |
|            20 | 0452             |   115.2500000 |      1 |
|            20 | 0454             |    18.6600000 |      1 |
|            20 | 0512             |   803.1499999 |      1 |
|            20 | 0520             |  2425.1400011 |      1 |
|            20 | 0531             |  2031.1600000 |      1 |
|            20 | 0532             |   736.0100002 |      1 |
|            20 | 0533             |   255.5000000 |      1 |
|            20 | 0540             |  2220.0300020 |      1 |
|            20 | 0561             |  2864.7750054 |      1 |
|            20 | 0562             |  2490.9999998 |      1 |
|            20 | 0721             |  2067.3500005 |      1 |
|            20 | 0722             |  5586.5399620 |      1 |
|            20 | 0723             |  2037.0499993 |      1 |
|            20 | 0830             |  3397.8499981 |      1 |
|            20 | 0931             |   478.4200001 |      1 |
|            20 | 0941             |  1765.6000006 |      1 |
|            20 | 0953             |     1.5000000 |      1 |
|            20 | 0954             |   414.6699999 |      1 |
|            20 | 1010             |  1352.0000000 |      1 |
|            20 | 1111             |  2826.8999999 |      1 |
|            20 | 1112             |   292.5999990 |      1 |
|            20 | 1120             |   605.5000000 |      1 |
|            20 | 1211             |  1422.6000012 |      1 |
|            20 | 1212             |    97.8900000 |      1 |
|            20 | 1213             |  5602.2299995 |      1 |
|            20 | 1270             |  3194.3500023 |      1 |
|            20 | 1320             |  8491.5800009 |      1 |
|            21 | 0111             |  1482.6849909 |      1 |
|            21 | 0112             |  2807.3549986 |      1 |
|            21 | 0113             |   684.6750007 |      1 |
|            21 | 0114             |   863.6700016 |      1 |
