Family Id																																																																					range	significance
 FS_ID 	 sum(SALRY_1   ) 	 sum(SALRY_2   ) 	 sum(BONCE_1   ) 	 sum(BONCE_2   ) 	 sum(ALLOW_1   ) 	 sum(ALLOW_2   ) 	 sum(INCOME1   ) 	 sum(INDUST    ) 	 sum(COMMERCE  ) 	 sum(TRANS     ) 	 sum(CONSTRANT ) 	 sum(FAINANCE  ) 	 sum(OWNWRK    ) 	 sum(OTHERS    ) 	 sum(INCOME2   ) 	 sum(DIVIDENDS ) 	 sum(BONDS     ) 	 sum(SAVINGAC  ) 	 sum(INVESTMENT) 	 sum(INCOME3   ) 	 sum(LANDRENT  ) 	 sum(PROJCTRENT) 	 sum(MACHNRENT ) 	 sum(CPYRIGHT  ) 	 sum(INCOME4   ) 	 sum(MARIGGIFT ) 	 sum(RETIREDSAL) 	 sum(TRETGRANT ) 	 sum(SOCILASST ) 	 sum(UNEMPALOW ) 	 sum(RENTALLOW ) 	 sum(OTHRGRANT ) 	 sum(INCOME5   ) 	 sum(ACC_COMP  ) 	 sum(LIFEINSUR ) 	 sum(REMTABROD ) 	 sum(REMTINSDE ) 	 sum(LEGITEXP  ) 	 sum(CASHGIFT  ) 	 sum(KINDGIFT  ) 	 sum(INCOME6   ) 	 sum(CSHINHERIT) 	 sum(DOWRY     ) 	 sum(SATELDLOAN) 	 sum(SELGOODS  ) 	 sum(LIFEINSRNC) 	 sum(WITHDRAWS ) 	 sum(OTHERPROC ) 	 sum(INCOME7   ) 	 sum(DEPOSIT   ) 	 sum(WITHDRAW  ) 	 sum(LENDING   ) 	 sum(BORRWING  ) 	 sum(PROCEEDS  ) 	 sum(PAYMENTS  ) 	 sum(SELSCRTIS ) 	 sum(BUYSCRTIS ) 	 sum(SELLAND   ) 	 sum(BUYLAND   ) 	 sum(SELBUILD  ) 	 sum(BUYBUILD  ) 	 sum(SELOTHER  ) 	 sum(BUYOTHER  ) 	 sum(INCOME8   ) 		Sum of 64Columns		classification	250	1
																																																																		0		0		
1	7134	0	0	0	0	0	7134	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	1500	0	4800	0	0	0	0	0	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		26869		108		
5	483	0	0	0	150	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1271		6		
8	4827	0	0	0	0	0	4827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9662		39		
10	3633	0	0	0	0	0	3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7276		30		
11	5931	0	0	0	0	0	5931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11873		48		
12	990	0	0	0	300	0	1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2592		11		
13	1200	0	0	0	270	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2953		12		
21	2364	0	0	0	0	0	2364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4749		19		
23	966	0	0	0	0	0	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1955		8		
