mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
+------+------+------+------+----------+
|    1 |    1 |    1 |    1 |        3 |
|    1 |    1 |    1 |    2 |        3 |
|    1 |    1 |    1 |    3 |        3 |
|    1 |    1 |    1 |    4 |        3 |
|    1 |    1 |    1 |    5 |        3 |
|    1 |    1 |    2 |    1 |        3 |
|    1 |    1 |    2 |    2 |        3 |
|    1 |    1 |    2 |    3 |        3 |
|    1 |    1 |    2 |    4 |        3 |
|    1 |    1 |    2 |    5 |        3 |
|    1 |    1 |    3 |    1 |        3 |
|    1 |    1 |    3 |    2 |        3 |
|    1 |    1 |    3 |    3 |        3 |
|    1 |    1 |    3 |    4 |        3 |
|    1 |    1 |    3 |    5 |        3 |
|    1 |    1 |    4 |    1 |        3 |
|    1 |    1 |    4 |    2 |        3 |
|    1 |    1 |    4 |    3 |        3 |
|    1 |    1 |    4 |    4 |        3 |
|    1 |    1 |    4 |    5 |        3 |
|    1 |    1 |    5 |    1 |        3 |
|    1 |    1 |    5 |    2 |        3 |
|    1 |    1 |    5 |    3 |        3 |
|    1 |    1 |    5 |    4 |        3 |
|    1 |    1 |    5 |    5 |        3 |
|    5 |    5 |    1 |    1 |        3 |
|    5 |    5 |    1 |    2 |        3 |
|    5 |    5 |    2 |    1 |        3 |
|    5 |    5 |    2 |    2 |        3 |
|    8 |    8 |    1 |    1 |        3 |
|    8 |    8 |    1 |    2 |        3 |
|    8 |    8 |    1 |    3 |        3 |
|    8 |    8 |    1 |    4 |        3 |
|   10 |   10 |    1 |    1 |        3 |
|   10 |   10 |    1 |    2 |        3 |
|   10 |   10 |    1 |    3 |        3 |
|   10 |   10 |    1 |    4 |        3 |
|   10 |   10 |    2 |    1 |        3 |
|   10 |   10 |    2 |    2 |        3 |
|   10 |   10 |    2 |    3 |        3 |
|   10 |   10 |    2 |    4 |        3 |
|   10 |   10 |    3 |    1 |        3 |
|   10 |   10 |    3 |    2 |        3 |
|   10 |   10 |    3 |    3 |        3 |
|   10 |   10 |    3 |    4 |        3 |
|   10 |   10 |    4 |    1 |        3 |
|   10 |   10 |    4 |    2 |        3 |
|   10 |   10 |    4 |    3 |        3 |
|   10 |   10 |    4 |    4 |        3 |
|   11 |   11 |    1 |    1 |        3 |
|   11 |   11 |    1 |    2 |        3 |
|   11 |   11 |    1 |    3 |        3 |
|   11 |   11 |    1 |    4 |        3 |
|   11 |   11 |    2 |    1 |        3 |
|   11 |   11 |    2 |    2 |        3 |
|   11 |   11 |    2 |    3 |        3 |
|   11 |   11 |    2 |    4 |        3 |
|   11 |   11 |    3 |    1 |        3 |
|   11 |   11 |    3 |    2 |        3 |
|   11 |   11 |    3 |    3 |        3 |
|   11 |   11 |    3 |    4 |        3 |
|   11 |   11 |    4 |    1 |        3 |
|   11 |   11 |    4 |    2 |        3 |
|   11 |   11 |    4 |    3 |        3 |
|   11 |   11 |    4 |    4 |        3 |
|   12 |   12 |    1 |    1 |        3 |
|   12 |   12 |    1 |    2 |        3 |
|   12 |   12 |    2 |    1 |        3 |
|   12 |   12 |    2 |    2 |        3 |
|   13 |   13 |    1 |    1 |        3 |
|   13 |   13 |    1 |    2 |        3 |
|   13 |   13 |    2 |    1 |        3 |
|   13 |   13 |    2 |    2 |        3 |
|   21 |   21 |    1 |    1 |        3 |
|   21 |   21 |    1 |    2 |        3 |
|   21 |   21 |    1 |    3 |        3 |
|   21 |   21 |    1 |    4 |        3 |
|   21 |   21 |    1 |    5 |        3 |
|   21 |   21 |    2 |    1 |        3 |
|   21 |   21 |    2 |    2 |        3 |
|   21 |   21 |    2 |    3 |        3 |
|   21 |   21 |    2 |    4 |        3 |
|   21 |   21 |    2 |    5 |        3 |
|   21 |   21 |    3 |    1 |        3 |
|   21 |   21 |    3 |    2 |        3 |
|   21 |   21 |    3 |    3 |        3 |
|   21 |   21 |    3 |    4 |        3 |
|   21 |   21 |    3 |    5 |        3 |
|   21 |   21 |    4 |    1 |        3 |
|   21 |   21 |    4 |    2 |        3 |
|   21 |   21 |    4 |    3 |        3 |
|   21 |   21 |    4 |    4 |        3 |
|   21 |   21 |    4 |    5 |        3 |
|   21 |   21 |    5 |    1 |        3 |
|   21 |   21 |    5 |    2 |        3 |
|   21 |   21 |    5 |    3 |        3 |
|   21 |   21 |    5 |    4 |        3 |
|   21 |   21 |    5 |    5 |        3 |
|   23 |   23 |    1 |    1 |        3 |
|   23 |   23 |    1 |    2 |        3 |
|   23 |   23 |    1 |    3 |        3 |
|   23 |   23 |    2 |    1 |        3 |
|   23 |   23 |    2 |    2 |        3 |
|   23 |   23 |    2 |    3 |        3 |
|   23 |   23 |    3 |    1 |        3 |
|   23 |   23 |    3 |    2 |        3 |
|   23 |   23 |    3 |    3 |        3 |
|   24 |   24 |    1 |    1 |        3 |
|   24 |   24 |    1 |    2 |        3 |
|   24 |   24 |    1 |    3 |        3 |
|   24 |   24 |    2 |    1 |        3 |
|   24 |   24 |    2 |    2 |        3 |
|   24 |   24 |    2 |    3 |        3 |
|   24 |   24 |    3 |    1 |        3 |
|   24 |   24 |    3 |    2 |        3 |
|   24 |   24 |    3 |    3 |        3 |
|   27 |   27 |    1 |    1 |        3 |
|   27 |   27 |    1 |    2 |        3 |
|   27 |   27 |    2 |    1 |        3 |
|   27 |   27 |    2 |    2 |        3 |
|   28 |   28 |    1 |    1 |        3 |
|   28 |   28 |    1 |    2 |        3 |
|   28 |   28 |    1 |    3 |        3 |
|   28 |   28 |    2 |    1 |        3 |
