mysql> select a.fs_id,a.mem_id,b.mem_id,a.income1+a.income2+a.income3+a.income4 as aCY,b.income1+b.income2+b.income3+b.income4 as bCY from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm=1 and b.fm_mm=1 and a.mem_id>b.mem_id;
+-------+--------+--------+------+-------+
| fs_id | mem_id | mem_id | aCY  | bCY   |
+-------+--------+--------+------+-------+
|     1 |      4 |      1 |    0 |   500 |
|     1 |      4 |      2 |    0 |     0 |
|     1 |      4 |      3 |    0 |  2378 |
|     1 |      5 |      4 |    0 |     0 |
|     1 |      5 |      1 |    0 |   500 |
|     1 |      5 |      2 |    0 |     0 |
|     1 |      5 |      3 |    0 |  2378 |
|     1 |      2 |      1 |    0 |   500 |
|     1 |      3 |      1 | 2378 |   500 |
|     1 |      3 |      2 | 2378 |     0 |
|     5 |      2 |      1 |  106 |   105 |
|    10 |      2 |      1 |  429 |   234 |
|    10 |      3 |      1 |  398 |   234 |
|    10 |      3 |      2 |  398 |   429 |
|    10 |      4 |      1 |  150 |   234 |
|    10 |      4 |      2 |  150 |   429 |
|    10 |      4 |      3 |  150 |   398 |
|    11 |      2 |      1 |  536 |   637 |
|    11 |      3 |      1 |  375 |   637 |
|    11 |      3 |      2 |  375 |   536 |
|    11 |      4 |      1 |  429 |   637 |
|    11 |      4 |      2 |  429 |   536 |
|    11 |      4 |      3 |  429 |   375 |
|    12 |      2 |      1 |  160 |   270 |
|    13 |      2 |      1 |  200 |   290 |
|    21 |      5 |      1 |  120 |   161 |
|    21 |      5 |      2 |  120 |   215 |
|    21 |      5 |      3 |  120 |   162 |
|    21 |      5 |      4 |  120 |   130 |
|    21 |      2 |      1 |  215 |   161 |
|    21 |      3 |      1 |  162 |   161 |
|    21 |      3 |      2 |  162 |   215 |
|    21 |      4 |      1 |  130 |   161 |
|    21 |      4 |      2 |  130 |   215 |
|    21 |      4 |      3 |  130 |   162 |
|    23 |      2 |      1 |    0 |   322 |
|    23 |      3 |      2 |    0 |     0 |
|    23 |      3 |      1 |    0 |   322 |
|    24 |      3 |      1 |    0 |   162 |
|    24 |      3 |      2 |    0 |   162 |
|    24 |      2 |      1 |  162 |   162 |
|    27 |      2 |      1 |  267 |   300 |
|    28 |      2 |      1 |  161 |   246 |
|    28 |      3 |      1 |  258 |   246 |
|    28 |      3 |      2 |  258 |   161 |
|    29 |      2 |      1 |  241 |   241 |
|    29 |      3 |      1 |  160 |   241 |
|    29 |      3 |      2 |  160 |   241 |
|    29 |      4 |      1 |  398 |   241 |
|    29 |      4 |      2 |  398 |   241 |
|    29 |      4 |      3 |  398 |   160 |
|    29 |      5 |      1 |  182 |   241 |
|    29 |      5 |      2 |  182 |   241 |
|    29 |      5 |      3 |  182 |   160 |
