mysql> select a.fs_id , a.mem_id , b.mem_id , a.fm_mm , a.income1+a.income2+a.income3+a.income4 as aCY , b.income1+b.income2+b.income3+b.income4 as bCY , IF(A.INCOME1=B.INCOME1,A.INCOME1,'') , IF(A.INCOME2=B.INCOME2,A.INCOME2,'') , IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') , IF(A.INCOME4=B.INCOME4,A.INCOME4,'') from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm= b.fm_mm and a.mem_id<b.mem_id;
+-------+--------+--------+-------+-------+------+--------------------------------------+--------------------------------------+----------------------------------------+--------------------------------------+
| fs_id | mem_id | mem_id | fm_mm | aCY   | bCY  | IF(A.INCOME1=B.INCOME1,A.INCOME1,'') | IF(A.INCOME2=B.INCOME2,A.INCOME2,'') | IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') | IF(A.INCOME4=B.INCOME4,A.INCOME4,'') |
+-------+--------+--------+-------+-------+------+--------------------------------------+--------------------------------------+----------------------------------------+--------------------------------------+
|     1 |      4 |      5 |     1 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|     1 |      3 |      4 |     3 |  2378 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|     1 |      3 |      5 |     3 |  2378 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|     1 |      4 |      5 |     3 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|     1 |      1 |      4 |     1 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      5 |     1 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      2 |     1 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      3 |     1 |   500 | 2378 |                                      | 0                                    | 0                                      |                                      |
|     1 |      1 |      5 |     2 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      2 |     2 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      3 |     2 |   500 | 2378 |                                      | 0                                    | 0                                      |                                      |
|     1 |      1 |      4 |     2 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      3 |     3 |   500 | 2378 |                                      | 0                                    | 0                                      |                                      |
|     1 |      1 |      4 |     3 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      5 |     3 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      1 |      2 |     3 |   500 |    0 | 0                                    | 0                                    | 0                                      |                                      |
|     1 |      2 |      4 |     1 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|     1 |      2 |      5 |     1 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|     1 |      2 |      3 |     1 |     0 | 2378 |                                      | 0                                    | 0                                      | 0                                    |
|     1 |      2 |      5 |     2 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|     1 |      2 |      3 |     2 |     0 | 2378 |                                      | 0                                    | 0                                      | 0                                    |
|     1 |      2 |      4 |     2 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
