mysql> select left(i,4),nat_id,incomeclass.x as incomeBracket,sum(expense.x),sum(q),count(*) from expense,incomeclass where f=fs_id  group by nat_id,incomeclass.x,left(i,4);
+-----------+--------+---------------+----------------+--------+----------+
| left(i,4) | nat_id | incomeBracket | sum(expense.x) | sum(q) | count(*) |
+-----------+--------+---------------+----------------+--------+----------+
| 0111      |      1 |             1 |       3389.955 |   2617 |     1213 |
| 0112      |      1 |             1 |       6239.925 |    709 |      466 |
| 0113      |      1 |             1 |       2866.380 |    307 |      195 |
| 0114      |      1 |             1 |       2044.261 |   1665 |      926 |
| 0115      |      1 |             1 |        835.735 |    267 |      195 |
| 0116      |      1 |             1 |       1606.325 |    846 |      713 |
| 0117      |      1 |             1 |       1802.840 |   1731 |     1344 |
| 0118      |      1 |             1 |        740.770 |    376 |      266 |
| 0119      |      1 |             1 |        808.885 |    715 |      553 |
| 0121      |      1 |             1 |        765.595 |    374 |      228 |
| 0122      |      1 |             1 |       1677.740 |    819 |      366 |
| 0220      |      1 |             1 |         34.450 |     52 |       52 |
| 0311      |      1 |             1 |       1269.000 |     56 |       37 |
| 0312      |      1 |             1 |      17726.875 |   1289 |      906 |
| 0313      |      1 |             1 |        847.830 |    100 |       78 |
| 0314      |      1 |             1 |       2860.200 |    467 |      280 |
| 0321      |      1 |             1 |       2726.030 |    267 |      228 |
| 0322      |      1 |             1 |         19.000 |      5 |        4 |
| 0411      |      1 |             1 |      34290.000 |    102 |      102 |
| 0421      |      1 |             1 |      19475.000 |     46 |       46 |
| 0431      |      1 |             1 |       2505.635 |     54 |       49 |
| 0432      |      1 |             1 |       5728.500 |     87 |       80 |
| 0441      |      1 |             1 |       1369.000 |    148 |      148 |
| 0442      |      1 |             1 |        296.000 |     96 |       96 |
| 0443      |      1 |             1 |         25.000 |      2 |        2 |
| 0451      |      1 |             1 |       2481.500 |    147 |      147 |
| 0452      |      1 |             1 |        237.290 |    157 |      133 |
| 0454      |      1 |             1 |        168.645 |     68 |       66 |
| 0511      |      1 |             1 |       3269.555 |    136 |      112 |
| 0512      |      1 |             1 |       2476.150 |     69 |       59 |
| 0513      |      1 |             1 |        210.000 |      2 |        2 |
| 0520      |      1 |             1 |       4549.135 |    461 |      260 |
| 0531      |      1 |             1 |       3002.340 |     65 |       59 |
| 0532      |      1 |             1 |       1251.410 |     94 |       88 |
| 0533      |      1 |             1 |        596.000 |     36 |       35 |
| 0540      |      1 |             1 |       4731.580 |    682 |      301 |
| 0551      |      1 |             1 |         10.150 |      5 |        4 |
| 0552      |      1 |             1 |       1249.480 |    255 |      128 |
| 0561      |      1 |             1 |       9169.220 |   2872 |     1611 |
| 0562      |      1 |             1 |      12209.000 |    181 |      165 |
| 0611      |      1 |             1 |       1190.130 |    111 |      104 |
| 0612      |      1 |             1 |         31.600 |     16 |       15 |
| 0613      |      1 |             1 |        734.400 |     24 |       24 |
| 0621      |      1 |             1 |        760.000 |     36 |       36 |
| 0622      |      1 |             1 |        414.000 |     13 |       13 |
| 0623      |      1 |             1 |        181.250 |      7 |        7 |
| 0630      |      1 |             1 |        800.000 |      3 |        3 |
| 0713      |      1 |             1 |         25.000 |      1 |        1 |
| 0721      |      1 |             1 |       2814.690 |     69 |       56 |
| 0722      |      1 |             1 |       9843.950 |   2755 |     1016 |
| 0723      |      1 |             1 |       5363.445 |    404 |      369 |
| 0724      |      1 |             1 |       2170.750 |    117 |       69 |
| 0732      |      1 |             1 |        265.000 |     33 |       31 |
| 0733      |      1 |             1 |       4955.000 |     14 |       10 |
| 0736      |      1 |             1 |          2.500 |      1 |        1 |
| 0810      |      1 |             1 |        100.000 |      1 |        1 |
| 0820      |      1 |             1 |       1811.800 |     80 |       79 |
| 0830      |      1 |             1 |       6658.250 |    606 |      559 |
| 0911      |      1 |             1 |       1423.500 |     26 |       26 |
| 0912      |      1 |             1 |         23.000 |      1 |        1 |
| 0913      |      1 |             1 |        458.100 |     17 |       17 |
| 0914      |      1 |             1 |         64.750 |      9 |        8 |
| 0915      |      1 |             1 |        154.320 |     12 |       12 |
| 0922      |      1 |             1 |         29.990 |      1 |        1 |
| 0923      |      1 |             1 |         12.000 |      1 |        1 |
| 0931      |      1 |             1 |        313.750 |     24 |       24 |
| 0932      |      1 |             1 |        758.200 |     17 |       17 |
| 0933      |      1 |             1 |        139.450 |     20 |       19 |
| 0934      |      1 |             1 |        139.940 |     18 |       18 |
| 0941      |      1 |             1 |       1608.950 |     70 |       45 |
| 0942      |      1 |             1 |        108.500 |     24 |       17 |
| 0951      |      1 |             1 |         66.750 |      7 |        6 |
| 0952      |      1 |             1 |        172.100 |    136 |      114 |
| 0953      |      1 |             1 |         36.500 |      7 |        3 |
| 0954      |      1 |             1 |       1767.670 |    357 |      191 |
| 0960      |      1 |             1 |        770.000 |      2 |        2 |
| 1010      |      1 |             1 |        330.000 |      3 |        3 |
| 1020      |      1 |             1 |       2185.000 |     34 |       27 |
| 1030      |      1 |             1 |         25.000 |      1 |        1 |
| 1040      |      1 |             1 |        650.000 |      2 |        2 |
| 1050      |      1 |             1 |       2195.800 |     30 |       28 |
| 1111      |      1 |             1 |       6609.835 |    969 |      840 |
| 1112      |      1 |             1 |        831.800 |    161 |      155 |
| 1120      |      1 |             1 |       1030.000 |      6 |        4 |
| 1211      |      1 |             1 |       2670.500 |    340 |      326 |
| 1212      |      1 |             1 |        140.790 |     10 |       10 |
| 1213      |      1 |             1 |       8325.220 |   2378 |     1660 |
| 1231      |      1 |             1 |       1030.380 |     85 |       68 |
| 1232      |      1 |             1 |       1315.700 |    110 |      107 |
| 1240      |      1 |             1 |          9.000 |      1 |        1 |
| 1254      |      1 |             1 |        274.500 |      5 |        5 |
| 1262      |      1 |             1 |         10.000 |      5 |        5 |
| 1270      |      1 |             1 |      17228.590 |    274 |      155 |
| 1310      |      1 |             1 |       8036.775 |     30 |       24 |
| 1320      |      1 |             1 |       7968.470 |    166 |      165 |
| 0111      |      1 |             2 |       2567.730 |   2092 |      975 |
| 0112      |      1 |             2 |       4900.200 |    631 |      364 |
| 0113      |      1 |             2 |       2437.910 |    260 |      131 |
| 0114      |      1 |             2 |       1704.675 |   1573 |      762 |
| 0115      |      1 |             2 |        597.205 |    242 |      152 |
| 0116      |      1 |             2 |       1417.465 |    804 |      557 |
| 0117      |      1 |             2 |       1529.355 |   1764 |     1179 |
| 0118      |      1 |             2 |       4445.460 |   1249 |      208 |
| 0119      |      1 |             2 |        674.560 |    754 |      490 |
| 0121      |      1 |             2 |        625.770 |    454 |      174 |
| 0122      |      1 |             2 |       1519.540 |   1355 |      304 |
| 0220      |      1 |             2 |         37.200 |     51 |       50 |
| 0311      |      1 |             2 |       1306.750 |     64 |       30 |
| 0312      |      1 |             2 |      17120.450 |   1198 |      663 |
| 0313      |      1 |             2 |        545.860 |     86 |       64 |
| 0314      |      1 |             2 |       2419.800 |    428 |      259 |
| 0321      |      1 |             2 |       3440.095 |    240 |      188 |
| 0322      |      1 |             2 |         35.100 |     14 |        9 |
| 0411      |      1 |             2 |       3165.000 |     12 |       12 |
| 0421      |      1 |             2 |      72930.000 |    105 |      105 |
| 0431      |      1 |             2 |        530.935 |     43 |       41 |
| 0432      |      1 |             2 |       2758.250 |    124 |      113 |
| 0441      |      1 |             2 |       1836.500 |    114 |      114 |
| 0442      |      1 |             2 |        210.000 |     72 |       72 |
| 0443      |      1 |             2 |          3.750 |      2 |        2 |
| 0451      |      1 |             2 |       3262.000 |    115 |      114 |
| 0452      |      1 |             2 |        210.750 |    154 |      121 |
| 0453      |      1 |             2 |          3.600 |      2 |        2 |
| 0454      |      1 |             2 |         98.045 |     53 |       51 |
| 0511      |      1 |             2 |       4338.435 |    190 |      122 |
| 0512      |      1 |             2 |       1110.950 |     59 |       48 |
| 0513      |      1 |             2 |         25.000 |      1 |        1 |
| 0520      |      1 |             2 |       2960.825 |    277 |      169 |
| 0531      |      1 |             2 |       2834.405 |     70 |       63 |
| 0532      |      1 |             2 |       1017.540 |    118 |      101 |
| 0533      |      1 |             2 |        938.800 |     58 |       56 |
| 0540      |      1 |             2 |       4657.935 |    703 |      293 |
| 0551      |      1 |             2 |         33.500 |      4 |        4 |
| 0552      |      1 |             2 |       5264.475 |    409 |      141 |
| 0561      |      1 |             2 |       3789.325 |   2327 |     1279 |
| 0562      |      1 |             2 |      10000.000 |    161 |      141 |
| 0611      |      1 |             2 |       1423.495 |    143 |      116 |
| 0612      |      1 |             2 |         16.700 |      8 |        6 |
| 0613      |      1 |             2 |        401.250 |     23 |       23 |
| 0621      |      1 |             2 |        522.100 |     26 |       26 |
| 0622      |      1 |             2 |        265.000 |      9 |        9 |
| 0623      |      1 |             2 |         90.000 |      5 |        5 |
| 0630      |      1 |             2 |       1425.000 |      5 |        5 |
| 0713      |      1 |             2 |         20.000 |      1 |        1 |
| 0721      |      1 |             2 |       2240.180 |     59 |       39 |
| 0722      |      1 |             2 |      13111.375 |   3374 |      828 |
| 0723      |      1 |             2 |       4201.910 |    365 |      311 |
| 0724      |      1 |             2 |        157.350 |     28 |       27 |
| 0732      |      1 |             2 |         86.500 |     19 |       19 |
| 0733      |      1 |             2 |       1553.000 |     12 |       12 |
| 0734      |      1 |             2 |        160.000 |      2 |        2 |
| 0736      |      1 |             2 |         22.000 |      2 |        2 |
| 0820      |      1 |             2 |       2433.200 |     92 |       91 |
| 0830      |      1 |             2 |       4260.250 |    494 |      466 |
| 0911      |      1 |             2 |       2013.750 |     31 |       30 |
| 0912      |      1 |             2 |         35.000 |      1 |        1 |
| 0913      |      1 |             2 |        445.000 |     19 |       19 |
| 0914      |      1 |             2 |        145.350 |     40 |       15 |
| 0915      |      1 |             2 |        121.500 |     11 |       10 |
| 0931      |      1 |             2 |        567.240 |     53 |       44 |
| 0932      |      1 |             2 |        442.050 |     31 |       20 |
| 0933      |      1 |             2 |       1288.750 |     31 |       14 |
| 0934      |      1 |             2 |         26.500 |      7 |        7 |
| 0941      |      1 |             2 |        930.850 |     61 |       42 |
| 0942      |      1 |             2 |        122.750 |     27 |       21 |
| 0951      |      1 |             2 |         34.750 |      7 |        4 |
| 0952      |      1 |             2 |        174.800 |    128 |      104 |
| 0953      |      1 |             2 |        156.000 |      3 |        2 |
| 0954      |      1 |             2 |        964.875 |    223 |      154 |
| 0960      |      1 |             2 |        710.000 |      3 |        3 |
| 1010      |      1 |             2 |        785.000 |     10 |        9 |
| 1020      |      1 |             2 |        607.000 |     16 |       16 |
| 1030      |      1 |             2 |         20.000 |      2 |        2 |
| 1050      |      1 |             2 |        564.000 |      8 |        8 |
| 1111      |      1 |             2 |       6184.730 |    733 |      615 |
| 1112      |      1 |             2 |       1462.250 |    186 |      178 |
| 1120      |      1 |             2 |        375.000 |      3 |        3 |
| 1211      |      1 |             2 |       2010.000 |    288 |      271 |
| 1212      |      1 |             2 |        120.780 |     10 |       10 |
| 1213      |      1 |             2 |       8287.900 |   3694 |     1261 |
| 1231      |      1 |             2 |       1272.400 |    101 |       83 |
| 1232      |      1 |             2 |       1158.550 |     94 |       80 |
| 1254      |      1 |             2 |         65.000 |      3 |        3 |
| 1262      |      1 |             2 |         17.500 |      2 |        2 |
| 1270      |      1 |             2 |      11523.100 |    127 |      112 |
| 1310      |      1 |             2 |        760.500 |     26 |       26 |
| 1320      |      1 |             2 |       5011.830 |    110 |      104 |
| 0111      |      1 |             3 |      16238.494 |   8498 |     3376 |
| 0112      |      1 |             3 |      21918.025 |   2409 |     1483 |
| 0113      |      1 |             3 |      13407.640 |   1232 |      569 |
| 0114      |      1 |             3 |       8984.374 |   5752 |     2764 |
| 0115      |      1 |             3 |       2335.480 |    749 |      494 |
| 0116      |      1 |             3 |       6079.220 |   3098 |     2330 |
| 0117      |      1 |             3 |       6993.885 |   6737 |     4486 |
| 0118      |      1 |             3 |       5469.817 |   3036 |      812 |
| 0119      |      1 |             3 |       4354.438 |   3576 |     1799 |
| 0121      |      1 |             3 |       2457.990 |   1081 |      667 |
| 0122      |      1 |             3 |       6063.085 |   2785 |     1143 |
| 0220      |      1 |             3 |        226.040 |    175 |      158 |
| 0311      |      1 |             3 |       4258.500 |    168 |      100 |
| 0312      |      1 |             3 |      87218.695 |   4630 |     2755 |
| 0313      |      1 |             3 |       2954.295 |    398 |      302 |
| 0314      |      1 |             3 |      12547.410 |   1680 |      955 |
| 0321      |      1 |             3 |      12822.900 |    917 |      735 |
| 0322      |      1 |             3 |        111.350 |     24 |       15 |
| 0411      |      1 |             3 |      43460.000 |    138 |      138 |
| 0421      |      1 |             3 |     321510.000 |    305 |      305 |
| 0431      |      1 |             3 |       6606.240 |    161 |      139 |
| 0432      |      1 |             3 |      21243.850 |    393 |      357 |
| 0441      |      1 |             3 |       6375.500 |    428 |      428 |
| 0442      |      1 |             3 |        622.000 |    225 |      225 |
| 0443      |      1 |             3 |         99.350 |     14 |       14 |
| 0451      |      1 |             3 |      13002.150 |    438 |      429 |
| 0452      |      1 |             3 |        824.000 |    556 |      447 |
| 0454      |      1 |             3 |        888.965 |    732 |      217 |
| 0511      |      1 |             3 |      27088.745 |    711 |      484 |
| 0512      |      1 |             3 |      10705.900 |    234 |      194 |
| 0513      |      1 |             3 |        455.000 |     10 |       10 |
| 0520      |      1 |             3 |      14743.090 |   1268 |      710 |
| 0531      |      1 |             3 |      17434.035 |    271 |      254 |
| 0532      |      1 |             3 |       3492.080 |    331 |      292 |
| 0533      |      1 |             3 |       3629.650 |    195 |      190 |
| 0540      |      1 |             3 |      21966.660 |   2605 |     1049 |
| 0551      |      1 |             3 |        306.695 |     19 |       19 |
| 0552      |      1 |             3 |       8082.050 |    862 |      401 |
| 0561      |      1 |             3 |      20169.810 |   9576 |     4768 |
| 0562      |      1 |             3 |      46998.450 |    691 |      616 |
| 0611      |      1 |             3 |       4224.225 |    385 |      347 |
| 0612      |      1 |             3 |        408.065 |     66 |       59 |
| 0613      |      1 |             3 |       2482.240 |     72 |       65 |
| 0621      |      1 |             3 |       3101.250 |    124 |      113 |
| 0622      |      1 |             3 |       3578.170 |     51 |       51 |
| 0623      |      1 |             3 |        554.750 |     22 |       22 |
| 0630      |      1 |             3 |      21250.475 |     21 |       14 |
| 0713      |      1 |             3 |        263.000 |     10 |        9 |
| 0721      |      1 |             3 |       7503.150 |    250 |      214 |
| 0722      |      1 |             3 |      38788.900 |  10193 |     2974 |
| 0723      |      1 |             3 |      19420.150 |   1293 |     1150 |
| 0724      |      1 |             3 |       1204.200 |    152 |      135 |
| 0732      |      1 |             3 |        938.300 |     44 |       40 |
| 0733      |      1 |             3 |      15448.000 |     40 |       32 |
| 0736      |      1 |             3 |         60.000 |      2 |        2 |
| 0820      |      1 |             3 |      11958.380 |    359 |      349 |
| 0830      |      1 |             3 |      23225.550 |   2160 |     1951 |
| 0911      |      1 |             3 |      10101.700 |    100 |       95 |
| 0912      |      1 |             3 |        620.500 |      8 |        8 |
| 0913      |      1 |             3 |       2894.515 |     58 |       57 |
| 0914      |      1 |             3 |        248.980 |     63 |       45 |
| 0915      |      1 |             3 |        661.100 |     47 |       43 |
| 0922      |      1 |             3 |        537.800 |     10 |       10 |
| 0923      |      1 |             3 |         13.500 |      3 |        3 |
| 0931      |      1 |             3 |       2514.295 |    223 |      183 |
| 0932      |      1 |             3 |       2416.700 |     86 |       79 |
| 0933      |      1 |             3 |       1170.000 |    110 |       75 |
| 0934      |      1 |             3 |        438.580 |     50 |       45 |
| 0935      |      1 |             3 |          4.000 |      1 |        1 |
| 0941      |      1 |             3 |       6582.200 |    319 |      229 |
| 0942      |      1 |             3 |        608.200 |     67 |       53 |
| 0951      |      1 |             3 |        521.790 |     23 |       19 |
| 0952      |      1 |             3 |        830.950 |    216 |      191 |
| 0953      |      1 |             3 |        785.900 |     65 |       27 |
| 0954      |      1 |             3 |       8947.000 |   1196 |      544 |
| 0960      |      1 |             3 |       2570.000 |     16 |       14 |
| 1010      |      1 |             3 |       2556.000 |     29 |       29 |
| 1020      |      1 |             3 |      10102.500 |    125 |       95 |
| 1040      |      1 |             3 |       1195.000 |     10 |        6 |
| 1050      |      1 |             3 |       3916.500 |    113 |      104 |
| 1111      |      1 |             3 |      22206.050 |   2593 |     2169 |
| 1112      |      1 |             3 |       5721.450 |    742 |      602 |
| 1120      |      1 |             3 |       4733.000 |     37 |       22 |
| 1211      |      1 |             3 |      12053.700 |   1152 |     1073 |
| 1212      |      1 |             3 |        661.250 |     63 |       51 |
| 1213      |      1 |             3 |      40314.700 |  10900 |     5407 |
| 1231      |      1 |             3 |       8367.690 |    476 |      344 |
| 1232      |      1 |             3 |       8617.580 |    421 |      371 |
| 1240      |      1 |             3 |         16.000 |      2 |        1 |
| 1254      |      1 |             3 |        256.000 |     12 |       12 |
| 1255      |      1 |             3 |         95.250 |      1 |        1 |
| 1262      |      1 |             3 |        295.500 |     17 |       17 |
| 1270      |      1 |             3 |      79292.100 |    646 |      511 |
| 1310      |      1 |             3 |       2355.250 |     95 |       87 |
| 1320      |      1 |             3 |      38712.720 |    597 |      586 |
| 0111      |      1 |             4 |      50697.826 |  30130 |    10716 |
| 0112      |      1 |             4 |      85944.246 |  10619 |     4785 |
| 0113      |      1 |             4 |      37011.770 |   4386 |     1680 |
| 0114      |      1 |             4 |      33736.823 |  24001 |     8885 |
| 0115      |      1 |             4 |      10745.060 |   3787 |     1467 |
| 0116      |      1 |             4 |      19997.790 |   9971 |     6611 |
| 0117      |      1 |             4 |      22109.639 |  21188 |    13182 |
| 0118      |      1 |             4 |      13815.215 |   6724 |     2596 |
| 0119      |      1 |             4 |      14264.084 |  13387 |     5330 |
| 0121      |      1 |             4 |      10250.415 |   5554 |     2009 |
| 0122      |      1 |             4 |      23841.084 |  13606 |     3576 |
| 0220      |      1 |             4 |       1683.340 |    931 |      697 |
| 0311      |      1 |             4 |      31874.300 |   1211 |      442 |
| 0312      |      1 |             4 |     272080.270 |  14286 |     8414 |
| 0313      |      1 |             4 |       7914.096 |   1030 |      757 |
| 0314      |      1 |             4 |      39974.700 |   5386 |     3058 |
| 0321      |      1 |             4 |      39432.920 |   2893 |     2311 |
| 0322      |      1 |             4 |        368.950 |     96 |       60 |
| 0411      |      1 |             4 |     111390.000 |    302 |      300 |
| 0421      |      1 |             4 |     929880.000 |    985 |      985 |
| 0431      |      1 |             4 |     102023.535 |    451 |      375 |
| 0432      |      1 |             4 |     157364.600 |   1169 |      883 |
| 0441      |      1 |             4 |      18249.250 |   1280 |     1281 |
| 0442      |      1 |             4 |       1431.750 |    618 |      618 |
| 0443      |      1 |             4 |        395.200 |     36 |       31 |
| 0451      |      1 |             4 |      36366.900 |   1278 |     1280 |
| 0452      |      1 |             4 |       2768.375 |   1750 |     1311 |
| 0453      |      1 |             4 |        627.525 |    461 |       62 |
| 0454      |      1 |             4 |       1848.560 |    654 |      600 |
| 0511      |      1 |             4 |      84212.460 |   1845 |     1318 |
| 0512      |      1 |             4 |      15509.210 |    504 |      422 |
| 0513      |      1 |             4 |        339.000 |      8 |        8 |
| 0520      |      1 |             4 |      42006.395 |   3065 |     1880 |
| 0531      |      1 |             4 |      36821.090 |    644 |      616 |
| 0532      |      1 |             4 |       9768.925 |    860 |      787 |
| 0533      |      1 |             4 |      10516.150 |    443 |      423 |
| 0540      |      1 |             4 |      48573.386 |   5819 |     2715 |
| 0551      |      1 |             4 |        704.590 |     46 |       35 |
| 0552      |      1 |             4 |      20620.205 |   2499 |     1096 |
| 0561      |      1 |             4 |      62367.273 |  34448 |    13994 |
| 0562      |      1 |             4 |     131177.600 |   1789 |     1632 |
| 0611      |      1 |             4 |      11365.980 |    977 |      831 |
| 0612      |      1 |             4 |        666.275 |    163 |      143 |
